averageRating,numVotes,startYear,genres
7.0,2200,1915,Comedy
7.1,784,1915,"Drama,Short"
6.8,1058,1915,Drama
6.0,2865,1916,Drama
6.5,947,1915,Drama
5.5,2979,1915,"Comedy,Short"
5.7,749,1915,"Comedy,Short"
6.5,998,1915,"Comedy,Short"
5.9,628,1915,"Comedy,Short"
8.1,95248,1915,Mystery
6.9,936,1915,"Comedy,Short"
7.4,1169,1915,Drama
7.2,3439,1915,Drama
6.4,10723,1915,"Short,Western"
7.6,4684,1915,"Documentary,War"
7.4,2313,1915,"Drama,Short"
6.7,1109,1915,"Drama,Short"
7.2,847,1915,"Biography,Drama"
6.6,1428,1916,Comedy
6.3,560,1915,"Adventure,Drama,Romance"
6.4,574,1915,"Documentary,War"
6.9,1130,1915,"Comedy,Short,Western"
6.3,822,1915,Drama
6.8,527,1915,Drama
6.4,696,1915,"Drama,Short"
7.4,924,1915,Romance
8.2,8277,1915,Drama
7.4,8237,1915,Drama
6.1,575,1915,"Comedy,Short"
6.6,967,1915,"Drama,Short"
6.6,788,1915,Drama
6.8,1488,1915,Drama
6.1,3821,1915,Drama
6.7,573,1915,Drama
6.7,815,1915,Drama
7.6,3947,1915,Drama
6.9,607,1915,"Drama,Short"
5.6,502,1915,"Comedy,Short"
6.5,1025,1915,Comedy
7.6,1588,1915,"Animation,Comedy,Short"
6.2,637,1916,"Crime,Horror,Mystery"
8.1,52765,1915,Mystery
7.1,1601,1915,"Adventure,Comedy"
7.3,1294,1915,Drama
5.7,670,1915,"Comedy,Short"
6.7,1087,1915,Drama
6.9,913,1915,"Short,Western"
7.7,8557,1915,"Drama,Short"
6.0,519,1915,"Drama,Romance,Short"
7.6,13921,1915,Drama
6.2,659,1915,"Comedy,Short"
6.2,1172,1915,"Comedy,Romance,Short"
6.2,673,1915,"Drama,Horror,Sci-Fi"
6.5,505,1915,"Short,Western"
6.8,506,1915,"Drama,Short"
7.8,11450,1915,Drama
8.0,12614,1915,Mystery
6.6,870,1915,"Action,Comedy,Short"
5.4,2546,1915,"Comedy,Drama,Short"
7.3,4264,1915,"Short,Western"
8.1,35195,1915,Documentary
6.8,706,1915,Drama
8.1,8864,1915,Western
7.5,4843,1915,Drama
7.2,712,1915,"Drama,Short"
6.3,748,1915,"Crime,Drama"
6.8,1393,1915,"Short,Western"
5.8,3027,1915,"Comedy,Short"
7.2,1322,1915,Drama
